rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
693,g_11592824_7526,0.392882,-0.512909,7.968844,10.99896,-15.748177,5.97562
702,g_11592824_7526,0.39434,-0.487159,7.97856,11.90896,-15.328176,6.39562
712,g_11592824_7526,0.388024,-0.502221,7.963014,12.048961,-14.698175,5.69562
722,g_11592824_7526,0.393854,-0.495419,7.961071,12.818961,-14.978176,4.92562
732,g_11592824_7526,0.390453,-0.494933,7.990221,11.978961,-15.958176,4.57562
741,g_11592824_7526,0.389481,-0.496876,7.98925,13.938961,-15.678177,4.36562
751,g_11592824_7526,0.389481,-0.500277,7.985363,11.90896,-15.608175,5.55562
761,g_11592824_7526,0.394826,-0.495419,7.949896,11.278961,-15.818176,4.85562
771,g_11592824_7526,0.387052,-0.501249,7.983419,9.878961,-14.698175,6.74562
781,g_11592824_7526,0.384623,-0.493475,7.954754,9.24896,-14.348177,5.97562
790,g_11592824_7526,0.393368,-0.49056,7.982934,9.03896,-15.748177,5.34562
800,g_11592824_7526,0.379278,-0.496876,7.977103,6.728961,-14.698175,5.48562
810,g_11592824_7526,0.377821,-0.495904,7.984391,6.238961,-13.368176,5.41562
819,g_11592824_7526,0.385109,-0.503192,7.96933,4.978961,-14.348177,6.39562
829,g_11592824_7526,0.385594,-0.494933,7.960099,5.818961,-14.418177,5.48562
839,g_11592824_7526,0.387538,-0.488131,7.857584,6.728961,-15.818176,6.25562
849,g_11592824_7526,0.386566,-0.494447,7.993136,10.228961,-16.168177,6.46562
858,g_11592824_7526,0.380736,-0.492503,7.967386,12.74896,-17.498177,5.90562
868,g_11592824_7526,0.381708,-0.492503,7.97516,13.65896,-18.338177,5.55562
878,g_11592824_7526,0.376849,-0.494933,7.981476,14.28896,-17.988176,6.67562
887,g_11592824_7526,0.383165,-0.486673,7.97516,12.678961,-18.758177,5.69562
897,g_11592824_7526,0.385594,-0.493475,7.979533,12.608961,-18.198175,6.39562
907,g_11592824_7526,0.394826,-0.489588,7.97516,11.558961,-17.988176,6.045619
917,g_11592824_7526,1.035666,16.070223,-15.889452,1323.078979,1968.401855,164.52562
927,g_11592824_7526,5.176105,9.911066,15.936833,564.698914,3.641824,-492.844391
936,g_11592824_7526,-1.234725,-1.105164,-2.095114,-327.731049,-124.948174,77.655624
946,g_11592824_7526,1.030321,1.513097,9.405511,-105.69104,137.131821,15.35562
956,g_11592824_7526,0.703828,1.22693,8.777789,-596.46106,137.131821,57.985619
966,g_11592824_7526,0.643097,2.090291,10.930603,-1351.901001,79.801826,174.465622
975,g_11592824_7526,-1.65353,2.056281,9.185905,-2176.430908,-187.248184,405.465637
985,g_11592824_7526,0.19514,-2.716738,7.511171,-922.241089,-399.838165,254.965622
995,g_11592824_7526,-0.563762,-5.58813,5.943323,947.458923,-555.728149,-376.434387
1005,g_11592824_7526,0.584794,3.353509,1.627005,-206.07103,-138.528183,-114.914375
1015,g_11592824_7526,0.419604,-0.063981,7.677818,-482.151031,201.111816,86.615623
1025,g_11592824_7526,0.533294,-0.236945,11.317343,113.05896,-69.78817,-9.91438
