rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
442,g_11696833_1301,-0.006003,-0.302535,8.027632,9.668961,-16.448175,7.23562
452,g_11696833_1301,-0.007461,-0.296705,7.990707,9.878961,-16.378176,6.18562
461,g_11696833_1301,-0.015234,-0.305936,7.960585,9.108961,-14.838177,6.39562
471,g_11696833_1301,-0.016206,-0.312738,7.976618,9.24896,-16.868176,5.90562
481,g_11696833_1301,-0.006975,-0.304478,8.003339,7.638961,-16.518177,5.62562
491,g_11696833_1301,-0.020093,-0.29962,8.014029,8.758961,-15.468176,6.67562
501,g_11696833_1301,-0.017663,-0.30545,7.999938,9.878961,-15.398176,6.32562
510,g_11696833_1301,-0.02155,-0.303021,7.955726,10.508961,-16.518177,6.25562
520,g_11696833_1301,-0.011833,-0.294761,7.983905,10.018961,-17.008177,6.045619
530,g_11696833_1301,-0.018149,-0.290389,7.982448,7.28896,-16.098177,6.46562
540,g_11696833_1301,-0.035154,-0.298162,8.008684,9.668961,-16.378176,6.74562
550,g_11696833_1301,-0.025923,-0.295733,8.021316,8.898961,-17.008177,5.48562
559,g_11696833_1301,-0.00406,-0.281157,7.977589,7.848961,-15.888176,6.11562
569,g_11696833_1301,-0.017663,-0.293304,7.981476,6.938961,-16.168177,5.62562
579,g_11696833_1301,-0.016206,-0.308851,7.985363,11.418961,-18.128176,6.25562
589,g_11696833_1301,-0.015234,-0.297191,8.009655,13.308961,-18.898176,5.90562
599,g_11696833_1301,-0.016206,-0.294761,8.015971,11.90896,-16.308176,7.16562
608,g_11696833_1301,-0.016206,-0.30545,7.97176,10.36896,-17.848177,5.97562
618,g_11696833_1301,-0.002602,-0.304964,7.970301,7.148961,-18.968176,5.76562
628,g_11696833_1301,-0.007461,-0.318568,7.981476,7.008961,-18.128176,6.11562
638,g_11696833_1301,-0.008918,-0.304478,8.013056,9.178961,-18.198175,6.39562
648,g_11696833_1301,-0.014263,-0.302049,8.001882,11.278961,-19.458176,6.25562
658,g_11696833_1301,-0.017178,-0.292818,7.981962,9.668961,-18.058176,5.90562
667,g_11696833_1301,10.842607,15.901633,-10.940554,-970.121094,1962.941895,-150.404373
677,g_11696833_1301,13.408398,7.630472,-15.889452,-2017.46106,-19.178177,76.045624
687,g_11696833_1301,0.519204,1.302237,15.936833,579.53894,-29.048176,-7.53438
697,g_11696833_1301,-0.335411,-0.286502,7.969816,-43.741039,9.241824,1.075619
707,g_11696833_1301,-0.243585,0.003552,9.144122,-275.161041,-64.048172,2.47562
717,g_11696833_1301,0.01829,0.494264,9.412799,-492.861023,-201.108185,30.755619
727,g_11696833_1301,-0.162934,0.817842,10.374302,-561.531067,-494.688171,93.475624
736,g_11696833_1301,-0.805717,0.636133,9.973959,-82.801033,-763.278137,215.555618
746,g_11696833_1301,-0.466106,-1.746004,6.545781,1065.479004,-650.928162,-279.274384
756,g_11696833_1301,0.26899,2.056281,0.929321,-134.741043,-178.148178,-85.86438
766,g_11696833_1301,-0.043414,-0.179614,8.76127,-191.44104,133.071823,51.895618
776,g_11696833_1301,-0.020579,-0.056208,10.160527,16.318962,-88.058174,-3.614381
786,g_11696833_1301,-0.020093,-0.192732,7.908598,22.408962,10.571825,8.42562
796,g_11696833_1301,-0.090056,-0.216053,7.752154,19.188961,-32.968178,5.97562
805,g_11696833_1301,-0.057503,-0.338488,8.4168,19.958961,-19.388176,5.76562
815,g_11696833_1301,-0.068678,-0.307394,7.747295,0.218961,-15.328176,6.46562
825,g_11696833_1301,-0.055074,-0.326828,7.997994,7.568961,-18.828176,6.46562
835,g_11696833_1301,-0.042442,-0.342375,8.02666,7.848961,-16.938175,5.76562
845,g_11696833_1301,-0.061876,-0.340917,8.031033,16.388962,-17.848177,7.30562
855,g_11696833_1301,-0.037583,-0.327314,7.963986,17.998962,-17.638176,7.725619
865,g_11696833_1301,-0.051187,-0.316625,7.886735,14.638961,-18.898176,6.88562
875,g_11696833_1301,-0.034182,-0.459466,7.979533,13.238961,-16.938175,7.02562
885,g_11696833_1301,-0.047786,-0.328285,7.973217,13.588961,-17.848177,6.39562
894,g_11696833_1301,-0.051673,-0.332658,8.007711,13.028961,-17.708176,6.67562
904,g_11696833_1301,-0.051673,-0.340432,7.991192,10.57896,-16.658176,5.065619
914,g_11696833_1301,-0.046329,-0.326342,7.963986,7.988961,-17.078176,6.53562
924,g_11696833_1301,-0.075966,-0.326342,7.958156,8.758961,-15.608175,5.41562
934,g_11696833_1301,-0.06139,-0.325856,7.990221,10.858961,-17.148176,6.60562
944,g_11696833_1301,-0.066735,-0.340432,7.992651,8.898961,-16.658176,6.46562
953,g_11696833_1301,-0.070621,-0.329743,7.990221,7.638961,-14.768177,5.48562
963,g_11696833_1301,-0.072565,-0.3312,7.984391,7.008961,-16.028175,6.18562
973,g_11696833_1301,-0.064305,-0.338002,7.983419,7.49896,-15.118176,6.53562
983,g_11696833_1301,-0.05556,-0.336545,7.977103,4.978961,-15.188175,5.48562
993,g_11696833_1301,-0.058475,-0.329743,7.97516,4.348961,-14.418177,5.83562
1003,g_11696833_1301,-0.039041,-0.338488,7.995566,5.398961,-14.558176,5.83562
1013,g_11696833_1301,-0.040984,-0.346262,7.978076,7.988961,-14.628176,5.41562
1022,g_11696833_1301,-0.058961,-0.34529,7.965929,10.648961,-15.888176,6.25562
1032,g_11696833_1301,-0.03564,-0.340917,7.976618,11.768961,-17.708176,5.27562
1042,g_11696833_1301,-0.052159,-0.338002,7.963986,10.648961,-16.868176,6.32562
1052,g_11696833_1301,-0.056046,-0.337516,7.985849,9.878961,-18.128176,6.39562
1062,g_11696833_1301,-0.054102,-0.33946,7.983419,11.978961,-16.868176,7.30562
1072,g_11696833_1301,-0.071107,-0.347233,7.966415,13.44896,-17.568176,7.16562
1081,g_11696833_1301,-0.070621,-0.328285,7.980504,12.11896,-17.708176,7.02562
1091,g_11696833_1301,-0.060904,-0.34529,7.95767,8.758961,-15.678177,6.815619
1101,g_11696833_1301,-0.054102,-0.349663,7.98099,10.298961,-17.848177,6.18562
1111,g_11696833_1301,-0.037583,-0.329257,7.989735,12.818961,-17.988176,6.32562
1121,g_11696833_1301,-0.046329,-0.338488,8.003339,10.928961,-17.568176,6.815619
1130,g_11696833_1301,-0.051187,-0.338002,8.004797,10.36896,-15.748177,6.39562
1140,g_11696833_1301,-0.044385,-0.331686,7.965443,11.488961,-17.008177,6.46562
1150,g_11696833_1301,-0.038069,-0.347233,7.959127,14.218961,-17.918177,6.67562
1160,g_11696833_1301,-0.055074,-0.335573,7.977103,14.918962,-17.638176,5.90562
1170,g_11696833_1301,-0.048758,-0.321969,7.968359,14.428961,-18.338177,6.815619
1180,g_11696833_1301,-0.056532,-0.325856,8.002853,13.098961,-18.058176,7.23562
1190,g_11696833_1301,-0.064791,-0.321969,7.997994,11.348961,-16.378176,5.97562
1199,g_11696833_1301,-0.057503,-0.330714,7.979047,10.228961,-15.888176,6.74562
1209,g_11696833_1301,-0.057989,-0.334601,7.996052,11.348961,-17.148176,7.58562
1219,g_11696833_1301,-0.064791,-0.337031,7.968844,11.278961,-17.428177,6.74562
1229,g_11696833_1301,-0.056046,-0.322455,7.960099,12.258961,-17.568176,6.67562
1238,g_11696833_1301,-0.060904,-0.332658,7.977103,12.53896,-17.428177,7.725619
1248,g_11696833_1301,-0.060904,-0.337516,7.993622,11.628961,-17.008177,7.02562
