rel_timestamp,recording_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1840,g_2169473_5119,-0.633912,0.16836,7.967088,12.95,-18.9,7.42
1850,g_2169473_5119,-0.652456,0.175192,7.972944,12.04,-20.16,7.21
1860,g_2169473_5119,-0.669048,0.177632,7.98612,12.67,-18.969999,7.98
1869,g_2169473_5119,-0.6466,0.176168,7.991488,12.04,-20.16,7.77
1879,g_2169473_5119,-0.663192,0.167872,7.9788,12.11,-20.370001,8.26
1889,g_2169473_5119,-0.658312,0.181536,7.99588,12.39,-18.83,6.79
1899,g_2169473_5119,-0.651968,0.164944,7.99344,12.53,-19.530001,7.14
1908,g_2169473_5119,-0.658312,0.170312,7.970504,13.37,-19.25,6.58
1918,g_2169473_5119,-0.636352,0.168848,7.999296,13.02,-19.32,7.42
1928,g_2169473_5119,-0.658312,0.176656,7.99344,12.11,-19.530001,7.14
1938,g_2169473_5119,-0.644648,0.174704,7.987096,12.32,-18.83,7.35
1948,g_2169473_5119,-0.664168,0.17324,7.982216,11.83,-20.02,6.58
1958,g_2169473_5119,-0.6588,0.17324,7.990024,11.69,-20.370001,6.58
1967,g_2169473_5119,-0.648064,0.182024,7.996368,13.23,-18.969999,7.98
1977,g_2169473_5119,-0.655872,0.179096,7.99588,11.97,-19.950001,7.49
1987,g_2169473_5119,-0.657824,0.18056,7.985632,13.3,-19.25,7.35
1997,g_2169473_5119,-0.65636,0.184952,7.994416,11.97,-19.950001,7.84
2007,g_2169473_5119,-0.652944,0.179584,7.991488,12.46,-19.32,7.84
2016,g_2169473_5119,-0.660752,0.17324,7.9788,12.18,-18.9,7.42
2026,g_2169473_5119,-0.651968,0.171776,7.991488,11.69,-19.040001,7.42
2036,g_2169473_5119,-0.654896,0.183,7.98612,11.83,-19.879999,7.98
2046,g_2169473_5119,-0.65392,0.18056,7.9788,12.46,-19.530001,7.91
2056,g_2169473_5119,-0.66368,0.171288,7.978312,12.04,-19.32,7.35
2066,g_2169473_5119,-0.642208,0.188368,7.996368,12.04,-19.389999,7.35
2076,g_2169473_5119,-0.654896,0.182024,7.99832,11.9,-19.040001,7.42
2085,g_2169473_5119,-0.652944,0.170312,7.98368,12.32,-19.18,7.42
