timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
17,0.8999,-2.2370,7.6416,4.6900,-5.5300,17.7100
37,0.9160,-2.2877,7.7045,6.7900,1.6800,20.0200
57,0.8994,-2.3419,7.6850,10.7800,-14.9800,16.7300
77,0.8896,-2.3268,7.6797,3.5700,-9.8700,11.8300
97,0.8750,-2.2668,7.5938,9.1000,-0.1400,14.0700
117,0.8867,-2.3024,7.7402,6.0900,4.0600,17.5000
137,0.8886,-2.3112,7.7280,7.2800,-6.2300,15.1200
157,0.8560,-2.3263,7.6089,-2.5200,-12.1100,9.2400
177,0.8506,-2.3331,7.4659,-11.2000,5.5300,7.0700
197,0.8535,-2.3492,7.7729,-36.4000,23.7300,-8.0500
217,0.7798,-2.2897,8.5156,-64.4000,23.3100,-0.4200
237,0.8520,-2.0003,8.7879,-152.5300,-54.2500,30.1700
257,0.9872,-2.3917,10.1938,-243.6700,-60.0600,95.3400
277,0.2274,-0.7183,9.8156,-7.4900,148.1900,194.8100
297,-2.4478,-1.0980,9.9215,356.3700,270.9700,59.1500
317,-0.8316,-5.3099,15.9888,708.4000,953.9600,575.2600
337,0.7984,-8.6903,15.9888,927.1500,497.4900,405.2300
357,1.2566,-8.5215,15.9888,1102.5699,-422.5200,167.0200
377,1.3288,-8.2980,14.0700,1208.2000,-1035.0900,-94.9900
397,1.8578,-6.3264,9.2374,1236.9700,-874.8600,-261.6600
417,2.0403,-4.2695,6.7798,1285.2700,-447.3700,-329.0700
437,2.0559,-3.5712,7.2863,1318.5200,-61.1800,-301.2100
457,1.8212,-3.1110,6.6739,1395.1000,214.1300,-286.5800
477,1.5079,-2.3805,7.7338,1431.5699,350.4200,-251.1600
497,1.1746,-2.1833,8.0691,1437.2400,217.4200,-322.0700
517,0.6490,-1.0604,7.2009,1441.9301,74.6900,-409.4300
537,0.1474,-0.3972,7.1350,1455.2300,-19.2500,-361.3400
557,-0.1459,0.0878,6.6231,1433.3199,-74.6900,-334.6700
577,0.0566,0.7105,6.0473,1383.7600,-178.4300,-335.6500
