timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
16,-0.0439,-2.5156,7.3220,-21.0700,4.4800,-11.3400
36,-0.0244,-2.3590,7.7807,4.6200,-14.9100,14.7700
56,0.0034,-2.3678,7.7031,5.7400,-14.3500,11.6900
76,-0.0468,-2.3390,7.6284,7.1400,-13.6500,14.1400
96,-0.0732,-2.3717,7.6894,7.6300,-12.6700,15.5400
116,-0.0366,-2.3917,7.6416,12.6700,-11.9000,13.9300
136,-0.0630,-2.3951,7.7104,15.7500,-10.5000,13.5100
156,-0.0473,-2.3595,7.7119,9.8000,-12.6700,13.4400
176,-0.0327,-2.3546,7.6665,9.1000,-14.1400,11.7600
196,-0.0454,-2.3468,7.6411,7.0700,-13.3700,13.2300
216,-0.0786,-2.3678,7.6392,7.7000,-10.0100,13.2300
236,-0.0717,-2.3956,7.7124,9.1700,-13.5100,14.3500
256,-0.0503,-2.3839,7.6714,4.6200,-13.5100,11.2700
276,-0.0224,-2.4195,7.7387,-0.0700,-12.7400,8.6100
296,-0.0371,-2.3692,7.6455,-6.7200,-10.0100,7.6300
316,0.0010,-2.2282,7.3385,-34.6500,20.9300,13.7200
336,-0.4846,-3.7654,7.7621,-135.8000,121.0300,-50.6100
356,-0.2850,-2.7147,8.5961,-189.4900,61.3200,6.7900
376,-0.0307,-2.1238,7.7860,-325.9200,80.0800,-21.4900
396,-0.1757,-2.0642,7.7748,-436.3800,109.2700,37.0300
416,-0.0322,-2.5181,8.6308,-510.0200,151.0600,123.1300
436,-0.1537,-3.1120,8.7908,-440.1600,264.2500,225.8900
456,-1.1517,-5.4895,8.8099,-97.6500,639.3800,168.0000
476,-0.4128,-6.4548,12.3137,-52.6400,392.5600,196.2800
496,-0.7579,-4.9703,12.3376,154.8400,264.8800,93.5900
516,-0.7720,-5.4695,12.5767,285.1800,172.6900,89.3900
536,-0.1962,-6.9042,14.3853,411.5300,-50.9600,2.3100
556,-0.6525,-7.4069,14.8093,610.3300,-56.2800,-69.2300
576,-1.2986,-7.8583,15.5018,828.9400,78.7500,-92.8200
596,-1.5899,-8.4121,15.4110,1086.3300,127.4000,-28.9100
616,-1.7514,-8.7098,15.9308,1252.3700,58.1000,-31.1500
636,-2.0525,-8.6386,14.4194,1438.0800,-127.3300,-31.8500
656,-2.2009,-8.2252,12.5060,1604.1899,-70.8400,34.0200
676,-1.7885,-7.9461,11.6588,1697.0800,-54.5300,87.7800
696,-0.7867,-8.0378,10.3807,1777.0200,-23.0300,124.1100
716,0.3572,-7.7607,8.4170,1836.1700,-76.6500,88.3400
736,1.2132,-7.5362,6.9935,1932.4200,-140.2800,19.3900
756,1.8671,-6.8257,5.1923,2038.2600,-171.6400,-80.5700
776,2.1687,-5.9556,3.7600,2108.1201,-96.6000,-142.1700
796,2.1360,-4.7966,2.2048,2167.9700,-33.5300,-200.8300
