timeline,accX,accY,accZ,gyroX,gyroY,gyroZ
14,-5.7501,-7.3991,2.2765,-856.3100,-242.0600,893.4100
34,-5.8477,-3.0959,0.7540,2293.4800,-2293.4800,715.1200
54,-8.3619,-3.5180,0.2094,-749.2100,-670.3900,1001.6300
74,-5.4422,-7.5040,1.6616,-1893.9200,213.1500,656.1800
94,-8.0544,-5.3573,3.0085,-2148.2300,189.6300,569.6600
114,-7.5240,-5.2406,3.9694,-1520.0500,-584.2900,213.4300
134,-8.3302,-4.3232,3.7874,596.7500,-1839.6700,299.3200
154,-8.5527,-3.2994,2.3102,-214.3400,-1912.1200,115.9900
174,-7.8714,-3.5053,1.9110,-223.0200,-1998.4301,199.2900
194,-7.4288,-3.2769,0.7013,-705.9500,-1897.2800,132.3700
214,-8.8470,-2.9246,-1.3688,-333.7600,-2010.3300,372.9600
234,-7.9900,-4.3666,-3.7610,691.3200,-1810.7600,639.4500
254,-7.1760,-6.1093,-4.7858,1246.4900,-1027.1801,506.5900
274,-5.6501,-7.8866,-3.4726,1578.8500,-135.8700,2.9400
294,-6.3582,-6.8515,-2.8953,1128.6801,795.9000,-675.9900
314,-8.8748,-5.8789,-1.7002,538.9300,1726.9700,-1099.2100
334,-9.3515,-3.3696,1.3391,151.9000,2255.0500,-1089.0601
354,-7.8192,-3.1842,3.1452,130.3400,2293.4800,-918.0500
374,-6.9896,-3.1149,5.1064,219.1000,2089.9199,-737.0300
394,-6.5939,-2.5025,6.7232,185.1500,1480.6400,-543.2000
414,-6.1512,-1.9378,7.2678,132.5100,585.0600,-268.3800
434,-6.6339,-1.8627,6.3133,258.1600,-215.3200,119.8400
454,-6.8076,-2.7997,4.5169,318.5700,-877.5200,382.8300
474,-6.9194,-3.9391,2.8641,140.0700,-1191.4700,502.6700
494,-6.8052,-4.7497,1.1063,3.5000,-1221.9200,473.6900
514,-6.7676,-5.2709,-0.2738,-29.6100,-1008.2800,366.8000
534,-6.8105,-5.4158,-1.2029,-43.0500,-645.1200,192.6400
554,-6.5734,-5.4036,-1.2942,-50.2600,-152.7400,38.2900
574,-6.4660,-4.9717,-0.6959,-146.1600,291.5500,-97.4400
594,-6.5924,-4.4789,0.5856,-211.1200,531.3700,-135.8000
614,-6.7608,-4.1890,1.7192,-113.1900,581.7000,-109.6200
634,-6.8247,-4.0890,2.6957,-58.7300,471.1000,-62.5100
654,-6.7290,-4.0284,3.1715,-5.3900,201.5300,-15.5400
674,-6.5836,-4.0968,3.0417,49.0700,-102.4800,33.6700
694,-6.6207,-4.1236,2.1579,140.9800,-293.4400,75.5300
714,-6.7290,-4.2612,1.2961,125.2300,-353.0100,105.4900
734,-6.5416,-4.6921,0.7383,64.6100,-286.0200,87.8500
754,-6.5177,-4.7443,0.3509,41.6500,-117.7400,52.5700
774,-6.5978,-4.7936,0.5470,-17.9200,67.6200,-29.1200
794,-6.7105,-4.2949,0.8711,-134.6100,188.4400,-83.4400
814,-6.4699,-4.0299,1.6275,-64.0500,198.9400,-51.4500
834,-6.5075,-3.9674,2.1052,-26.5300,133.7000,-4.8300
854,-6.4494,-4.0158,2.2326,9.4500,17.2900,27.7900
874,-6.6627,-4.0167,1.9388,73.6400,-93.7300,71.1200
894,-6.6280,-4.2788,1.5040,66.8500,-130.2700,92.6100
914,-6.6324,-4.5160,1.2312,34.0200,-107.0300,69.0900
934,-6.8706,-4.3086,0.8218,-33.3200,-43.7500,31.5700
954,-6.7159,-4.3222,0.9501,-8.9600,7.4900,38.0100
974,-6.6729,-4.4462,1.2083,-12.0400,42.9100,28.2100
994,-6.7695,-4.4559,1.4367,-17.0100,48.1600,15.1200
1014,-6.7788,-4.3705,1.5640,-9.3100,26.8100,1.2600
1034,-6.7124,-4.2754,1.6167,7.0700,-5.0400,-2.3800
1054,-6.6388,-4.1836,1.5777,24.1500,-37.6600,2.8000
1074,-6.5943,-4.1597,1.4450,24.3600,-52.0800,16.4500
1094,-6.6500,-4.2041,1.3352,27.0200,-49.9800,28.2800
1114,-6.6412,-4.3481,1.2698,17.8500,-30.6600,23.6600
1134,-6.6685,-4.3349,1.3674,1.1200,-16.3100,2.9400
1154,-6.6285,-4.1836,1.4850,-9.3800,-14.8400,2.1700
1174,-6.8569,-3.9933,1.3103,5.4600,-4.7600,22.0500
1194,-6.6700,-4.3115,1.3952,8.4700,-14.2100,27.5100
1214,-6.6724,-4.5120,1.4142,15.6800,-18.3400,-1.7500
1234,-6.5641,-4.2485,1.3552,3.9900,-4.9700,-26.1800
1254,-6.5221,-4.0123,1.3644,5.8100,-1.1900,-3.4300
1274,-6.6607,-4.1636,1.4201,17.3600,-4.6900,34.5100
1294,-6.6651,-4.4262,1.5318,9.5900,-9.7300,24.7800
1314,-6.6636,-4.4408,1.4957,13.4400,-31.4300,-1.8200
1334,-6.5948,-4.2495,1.4064,22.6800,-43.7500,-8.8900
1354,-6.6202,-4.1558,1.3259,17.2900,-41.0200,10.6400
1374,-6.4309,-4.4247,1.3230,5.4600,-38.7100,21.8400
1394,-6.4714,-4.4662,1.4333,35.0000,-10.3600,29.5400
1414,-6.6090,-4.5081,1.3649,-6.9300,6.2300,-9.3800
1434,-6.5387,-4.3227,1.3713,-7.8400,5.6700,-27.4400
1454,-6.4723,-4.0621,1.4259,5.1800,2.0300,-10.0100
1474,-6.5070,-4.0031,1.4894,8.2600,-9.7300,37.4500
1494,-6.5939,-4.3046,1.5255,22.1900,-24.7100,53.6200
1514,-6.6324,-4.4501,1.4762,23.3100,-39.0600,24.5000
1534,-6.9306,-4.1163,1.0614,-63.8400,-9.2400,1.2600
1554,-6.7451,-3.9186,1.2873,4.2000,-15.6100,50.1900
1574,-6.7393,-4.2993,1.4396,13.3700,-6.6500,66.3600
1594,-6.8340,-4.4506,1.4855,-6.4400,-17.2200,45.0100
1614,-6.7778,-4.5199,1.4982,11.7600,-38.9900,4.5500
1634,-6.6783,-4.3037,1.3230,17.2900,-51.4500,-14.6300
1654,-6.6397,-4.0533,1.2229,17.4300,-44.0300,1.4700
1674,-6.5953,-4.1256,1.2205,12.3900,-24.7100,31.4300
1694,-6.6222,-4.3027,1.3347,-2.2400,-6.6500,31.9200
1714,-6.7305,-4.3881,1.3825,-1.8200,-3.0800,19.3900
1734,-6.7281,-4.3793,1.4474,-0.7000,-8.1200,0.7000
1754,-6.6129,-4.2441,1.4489,14.4900,-23.1000,-6.5800
1774,-6.5455,-4.1212,1.3830,15.4700,-28.0700,0.6300
1794,-6.5509,-4.0841,1.3376,16.9400,-28.4200,21.5600
1814,-6.5734,-4.2476,1.3810,15.0500,-21.6300,33.7400
1834,-6.6939,-4.3437,1.3796,16.5200,-21.4200,27.7900
1854,-6.7242,-4.3905,1.3483,13.0200,-13.5800,8.9600
1874,-6.6783,-4.2612,1.3449,7.5600,-6.7900,-6.1600
1894,-6.6363,-4.1270,1.3586,3.1500,-0.8400,-1.8900
1914,-6.6719,-4.0660,1.4211,7.3500,-5.8800,18.6200
1934,-6.7061,-4.2354,1.4630,14.5600,-16.2400,25.8300
1954,-6.7310,-4.3403,1.4567,18.2700,-31.4300,13.5800
1974,-6.6719,-4.2895,1.3874,16.6600,-32.7600,-0.8400
1994,-6.6173,-4.0997,1.3420,13.1600,-24.3600,3.4300
2014,-6.6202,-4.1119,1.3361,14.0000,-17.4300,25.1300
2034,-6.6939,-4.3515,1.4215,11.0600,-20.8600,29.5400
2054,-6.6797,-4.3656,1.4093,12.8800,-24.7100,13.9300
2074,-6.7046,-4.2573,1.3430,7.3500,-19.1100,-0.7700
2094,-6.6607,-4.1236,1.3366,6.6500,-16.1700,7.0000
2114,-6.6441,-4.2027,1.3893,11.6200,-20.6500,21.3500
